ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	37	54	1	0	3	0	5	1	199700	14
1	7543	47	1	0	2	0	5	1	133500	12
1	843	45	1	0	2	0	5	1	120520	17
1	6374	30	1	0	1	0	5	1	57700	12
1	289	79	1	0	3	0	5	1	87800	12
1	1191	55	1	0	3	0	5	1	31541	12
1	5779	51	1	0	3	0	5	1	109076	13
1	3555	55	1	0	2	0	5	1	204000	17
1	8703	55	2	0	2	1	5	1	55300	16
1	9030	45	1	0	2	0	5	1	71100	14
1	5668	42	1	0	1	0	5	1	184520	12
1	3798	73	1	5	4	0	5	1	57290	12
1	7034	27	1	0	2	0	5	1	33000	12
1	7905	48	1	0	2	0	5	1	110000	12
1	6267	36	1	0	2	2	5	1	43900	10
1	445	80	1	5	2	0	5	1	27536	10
1	1828	57	1	0	2	0	5	1	72100	11
1	307	54	1	5	4	0	5	1	45496	11
1	4749	53	1	0	1	0	5	1	88408	12
1	5849	50	1	0	3	0	1	1	29425	11
1	639	48	1	5	3	0	1	1	29048	10
1	6082	36	1	0	2	0	5	1	80000	9
1	4746	35	1	0	2	0	1	1	50000	11
1	5449	34	1	0	1	0	5	1	57000	10
1	5882	26	1	0	4	0	1	1	23905	8
1	6280	25	1	0	2	1	1	1	12700	12
1	3591	23	1	0	4	0	1	1	8649	10
1	673	22	1	0	3	2	5	1	78668	16
1	5029	56	1	0	1	0	5	1	53000	14
1	2009	60	2	0	3	0	5	1	24432	13
1	3072	67	1	5	3	0	5	1	38494	14
1	828	51	1	0	3	0	1	1	89116	13
1	6437	29	1	0	2	0	5	1	30435	11
1	945	36	1	5	1	1	1	1	6000	17
1	355	78	2	5	3	0	5	1	11952	11
1	4561	50	2	5	3	0	1	1	0	12
1	2307	38	2	5	3	0	5	1	10000	10
1	111	23	2	5	5	0	1	1	25000	8
1	597	22	2	0	3	0	5	1	8500	10
1	8267	30	1	0	3	0	1	1	22500	9
1	5638	66	1	0	4	0	5	1	117625	17
1	5761	44	2	0	2	0	5	1	50002	17
1	195	39	1	0	1	0	5	1	98026	14
1	5774	69	1	5	4	0	5	1	51106	12
1	8984	45	1	0	3	0	1	1	130003	13
1	5242	89	2	5	5	1	5	1	25672	15
1	7422	65	1	0	2	0	5	1	69000	17
1	2461	63	1	0	1	0	5	1	124796	17
1	7424	34	1	0	2	0	5	1	105300	17
1	2159	57	1	0	3	0	5	1	202500	16
1	5492	36	1	0	2	0	5	1	135900	17
1	1465	26	1	0	2	0	5	1	72400	16
1	219	77	2	5	3	0	5	1	24264	14
1	3686	48	1	0	3	0	5	1	140000	14
1	1623	81	2	5	1	0	5	1	18000	12
1	6420	53	2	0	4	0	5	1	50903	13
1	5194	61	2	0	2	0	1	1	100001	17
1	6607	29	2	5	1	0	1	1	1	16
1	655	88	2	5	5	0	5	1	24600	16
1	457	62	2	5	4	0	5	1	6502	17
1	339	82	1	5	1	0	5	1	82005	12
1	27	58	1	0	3	0	5	1	67506	12
1	3969	51	2	0	4	0	5	1	61000	14
1	3727	38	1	0	1	0	5	1	98860	13
1	605	31	1	0	2	0	5	7	240100	14
1	4546	19	2	0	1	2	5	1	22385	14
1	6636	52	2	5	5	0	1	1	11276	12
1	5857	38	1	0	2	0	5	1	104000	12
1	2481	55	1	0	2	0	5	1	107850	12
1	703	79	1	5	3	0	5	1	27380	14
1	158	56	1	0	3	0	5	1	150000	13
1	3436	34	2	0	3	0	5	1	120015	16
1	857	27	1	0	1	0	5	1	100016	15
1	2418	35	1	0	2	1	5	1	119010	17
1	7692	36	1	0	3	0	5	1	108600	15
1	6583	87	1	5	2	0	5	1	78380	12
1	6752	60	2	0	3	0	5	1	20433	12
1	301	51	2	0	3	0	5	1	48001	16
1	2369	35	1	0	3	0	1	1	38260	12
1	4419	27	2	0	2	0	1	1	50000	16
1	5236	63	1	0	2	0	5	1	78000	12
1	8803	40	1	0	3	0	5	1	84920	12
