Zip	State	County	City	ZrentValue
89121	NV	Clark	Las Vegas	1152
33647	FL	Hillsborough	Tampa	1709
89117	NV	Clark	Las Vegas	1394
47906	IN	Tippecanoe	West Lafayette	1309
92345	CA	San Bernardino	Hesperia	1287
43130	OH	Fairfield	Lancaster	1029
11236	NY	Kings	New York	2155
28314	NC	Cumberland	Fayetteville	801
40475	KY	Madison	Richmond	1098
94536	CA	Alameda	Fremont	3085
92503	CA	Riverside	Riverside	1837
65203	MO	Boone	Columbia	1284
19111	PA	Philadelphia	Philadelphia	1229
92126	CA	San Diego	San Diego	2461
77450	TX	Fort Bend	Cinco Ranch	1844
27406	NC	Guilford	Greensboro	892
91730	CA	San Bernardino	Rancho Cucamonga	2043
90201	CA	Los Angeles	Bell	2303
97229	OR	Washington	Cedar Mill	2344
29732	SC	York	Rock Hill	1291
27610	NC	Wake	Raleigh	1240
76244	TX	Tarrant	Fort Worth	1753
98103	WA	King	Seattle	2664
10457	NY	Bronx	New York	1743
21740	MD	Washington	Hagerstown	1093
77095	TX	Harris	Houston	1672
32822	FL	Orange	Orlando	1195
22191	VA	Prince William	Woodbridge	1799
90280	CA	Los Angeles	South Gate	2272
60626	IL	Cook	Chicago	1455
92592	CA	Riverside	Temecula	2234
87120	NM	Bernalillo	Albuquerque	1204
98012	WA	Snohomish	Bothell	2342
10027	NY	New York	New York	3223
90004	CA	Los Angeles	Los Angeles	3563
92336	CA	San Bernardino	Fontana	2176
30062	GA	Cobb	Marietta	1896
46307	IN	Lake	Crown Point	1561
33012	FL	Miami-Dade	Hialeah	1716
80134	CO	Douglas	Parker	2353
23454	VA	Virginia Beach City	Virginia Beach	1595
46227	IN	Marion	Indianapolis	1089
11238	NY	Kings	New York	2679
74012	OK	Tulsa	Broken Arrow	1207
21117	MD	Baltimore	Owings Mills	1741
90706	CA	Los Angeles	Bellflower	2369
60649	IL	Cook	Chicago	1247
7093	NJ	Hudson	West New York	2123
77459	TX	Fort Bend	Missouri City	1852
11372	NY	Queens	New York	2172
99301	WA	Franklin	Pasco	1336
32244	FL	Duval	Jacksonville	1109
11233	NY	Kings	New York	2333
48103	MI	Washtenaw	Ann Arbor	2027
33186	FL	Miami-Dade	The Crossings	1946
92335	CA	San Bernardino	Fontana	1677
92021	CA	San Diego	El Cajon	2309
85705	AZ	Pima	Tucson	954
20019	DC	District of Columbia	Washington	1907
76063	TX	Tarrant	Mansfield	1836
43230	OH	Franklin	Gahanna	1448
23320	VA	Chesapeake City	Chesapeake	1508
22193	VA	Prince William	Woodbridge	1805
93065	CA	Ventura	Simi Valley	2690
48185	MI	Wayne	Westland	1134
75217	TX	Dallas	Dallas	1122
27834	NC	Pitt	Greenville	836
44130	OH	Cuyahoga	Parma Heights	1162
92101	CA	San Diego	San Diego	2546
22304	VA	Alexandria City	Alexandria	1976
91342	CA	Los Angeles	Los Angeles	2498
11223	NY	Kings	New York	2228
30331	GA	Fulton	Atlanta	1206
20878	MD	Montgomery	Gaithersburg	2446
30080	GA	Cobb	Smyrna	1444
92627	CA	Orange	Costa Mesa	3036
33311	FL	Broward	Fort Lauderdale	1550
27858	NC	Pitt	Greenville	1103
30188	GA	Cherokee	Woodstock	1444
10021	NY	New York	New York	3622
2155	MA	Middlesex	Medford	2449
37130	TN	Rutherford	Murfreesboro	1267
90011	CA	Los Angeles	Los Angeles	2337
87121	NM	Bernalillo	Albuquerque	1099
43701	OH	Muskingum	Zanesville	831
32256	FL	Duval	Jacksonville	1245
33027	FL	Broward	Miramar	1960
23666	VA	Hampton City	Hampton	1275
19124	PA	Philadelphia	Philadelphia	1038
90025	CA	Los Angeles	Los Angeles	3553
30022	GA	Fulton	Johns Creek	2258
90027	CA	Los Angeles	Los Angeles	3914
11218	NY	Kings	New York	2264
58103	ND	Cass	Fargo	1308
33064	FL	Broward	Pompano Beach	1557
34135	FL	Lee	Bonita Springs	2197
30040	GA	Forsyth	Cumming	1645
79938	TX	El Paso	El Paso	1094
32218	FL	Duval	Jacksonville	1229
77845	TX	Brazos	College Station	1730
33063	FL	Broward	Margate	1446
44077	OH	Lake	Painesville	1181
77082	TX	Harris	Houston	1424
43026	OH	Franklin	Hilliard	1499
23452	VA	Virginia Beach City	Virginia Beach	1464
30052	GA	Walton	Loganville	1365
10701	NY	Westchester	Yonkers	2313
90731	CA	Los Angeles	Los Angeles	2456
27587	NC	Wake	Wake Forest	1611
33313	FL	Broward	Lauderhill	1275
80634	CO	Weld	Greeley	1557
