Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
49879	70	30	78	0	2867
49880	70	30	0	0	2640
49881	30	0	0	0	1246
49884	40	0	0	0	1356
49885	170	50	83	24	7045
49886	30	0	0	0	978
49887	180	60	156	29	7405
49891	40	0	0	0	1439
49892	150	50	62	0	6011
49893	160	50	81	33	6478
49894	50	0	0	0	1865
49895	70	20	0	0	2633
49896	110	30	72	0	4295
49905	150	40	106	28	5186
49908	180	50	137	42	7079
49910	20	0	0	0	834
49911	190	50	110	0	7648
49912	50	0	0	0	1869
49913	430	90	184	100	16239
49916	210	40	118	37	8379
49920	310	80	178	26	12191
49921	30	0	0	0	1667
49925	40	0	0	0	1526
49927	30	0	0	0	1092
49930	410	130	107	103	15973
49931	310	110	83	70	12610
49935	400	90	211	32	15833
49938	460	110	209	70	18277
49945	190	40	155	41	7330
49946	270	70	154	28	11066
49947	50	0	0	0	1834
49948	30	0	0	0	1317
49950	80	30	0	0	3040
49953	160	40	120	0	6532
49958	80	30	136	27	3259
49962	40	0	0	0	2377
49965	50	0	0	0	2216
49967	30	0	0	0	1062
49968	130	40	107	23	5277
49969	60	30	0	0	2191
49970	0	0	0	0	0
99999	6130	2390	2040	667	250232
0	388270	158890	146594	74855	15792030
55001	170	80	178	44	6534
55003	170	80	173	49	6925
55005	360	130	180	50	14255
55006	280	80	311	39	10880
55007	170	60	148	0	6337
55008	1190	390	711	183	47166
55009	660	230	263	106	26347
55011	850	310	485	113	33578
55012	160	60	0	36	6446
55013	500	190	303	78	20076
55014	1990	790	664	359	82428
55016	2460	910	827	462	99131
55017	60	30	0	0	2631
55018	70	40	172	0	2720
55019	190	70	271	47	7393
55020	240	90	221	45	9231
55021	2010	670	830	277	79623
55024	2420	920	903	467	96477
55025	1750	670	829	258	70195
55026	40	20	0	0	1827
55027	240	70	129	22	9071
55030	110	50	238	16	4218
55031	150	60	0	45	6009
55032	280	70	208	26	11060
55033	2220	910	859	367	90921
55037	320	100	440	32	12533
55038	1520	670	519	339	61868
55040	1070	340	651	200	42358
55041	620	210	217	70	24678
55042	410	180	195	40	16596
55043	290	130	0	31	11697
55044	2770	1090	1029	503	111010
55045	550	200	306	76	21834
55046	420	130	191	87	16203
55047	180	60	138	0	6971
55049	190	50	103	0	7585
55051	650	200	757	78	24876
55052	160	70	142	0	6431
55053	70	30	0	47	2845
55054	160	50	0	26	5929
55055	310	130	139	76	12236
55056	1080	340	566	165	41944
55057	1410	520	448	240	55440
55060	2090	690	603	344	82910
55063	680	210	479	94	26499
55065	90	40	250	16	3679
55066	1270	450	440	188	51571
55068	2000	810	700	412	80400
55069	310	90	163	58	12518
55070	650	240	334	105	25763
55071	510	200	171	103	20999
55072	220	70	203	0	8626
55073	260	110	131	27	10593
55074	180	50	141	27	7048
55075	1760	760	613	367	71989
55076	1860	920	521	353	78213
55077	820	380	278	164	33980
55079	690	230	321	99	27425
55080	230	90	150	49	8804
55082	2280	970	786	354	91721
55084	150	70	138	0	5944
55087	30	0	0	0	1108
55088	120	60	0	0	4564
55089	120	40	0	0	4507
55092	800	270	376	106	31263
55101	840	690	146	335	39523
55102	1530	1070	321	560	68225
55103	520	240	117	165	20837
55104	2630	1410	535	869	110203
55105	1700	1070	471	601	73836
55106	3030	1220	899	661	119746
55107	910	400	374	242	36539
55108	980	530	168	308	41542
55109	2530	1090	651	479	103144
55110	3020	1320	1066	519	123585
55112	3140	1400	802	582	127652
55113	3170	1680	530	687	133526
55114	270	200	0	154	12303
55115	500	210	134	97	20360
55116	1810	1090	258	493	76910
55117	2630	1190	765	577	106861
55118	2020	1020	536	341	82741
55119	2990	1340	749	539	121548
55120	290	190	0	85	12340
55121	800	420	149	205	34182
55122	2700	1410	701	592	113928
55123	1560	770	528	336	65810
55124	3870	1780	1259	801	158483
55125	3140	1530	731	685	130593
55126	2020	1000	469	392	83918
55127	1250	620	340	213	51498
55128	2480	1160	691	436	103008
55129	1170	530	284	281	48283
55130	610	220	324	115	23218
55301	980	370	384	222	38832
55302	550	170	406	64	21362
55303	3770	1430	1370	573	151847
55304	3030	1080	1173	466	120412
55305	1710	1050	335	424	74054
55306	1210	550	310	245	48906
55307	250	60	0	35	10038
55308	660	190	447	130	25394
55309	1430	480	826	298	56637
55310	130	50	180	0	5480
55311	1950	1000	678	454	80333
55312	140	60	225	29	5696
55313	1730	550	869	280	68073
55314	100	50	0	0	3850
55315	320	140	176	67	13001
55316	1820	740	652	366	74178
55317	1140	530	412	237	46368
55318	1780	770	743	467	72054
55319	380	120	357	43	14823
55320	430	140	313	70	17102
55321	390	100	207	56	13895
55322	260	90	126	36	10066
55324	100	40	165	0	3703
55325	330	80	165	52	12405
55327	270	110	0	44	10903
55328	550	190	181	99	21785
55329	150	50	0	26	5752
55330	2840	1020	1328	512	112419
55331	840	380	312	153	33481
55332	160	40	0	0	6136
55333	60	0	0	0	2476
55334	260	80	184	25	10467
55335	130	50	0	33	4951
55336	670	180	347	92	26754
55337	3570	1680	983	694	146779
55338	120	50	182	28	4617
55339	80	40	0	0	3226
55340	300	130	204	62	12362
55341	180	70	0	40	6956
55342	150	40	121	0	5861
55343	2550	1470	584	547	110404
55344	1480	840	231	325	64903
55345	1250	590	372	227	50733
55346	1080	530	292	211	45205
55347	1570	810	420	337	64931
55349	280	90	142	41	11003
55350	1460	490	474	202	58467
55352	620	220	292	115	24416
55353	260	80	238	31	10113
55354	220	50	155	27	8559
55355	710	200	305	108	28279
55356	300	130	200	46	11876
55357	190	70	151	25	7150
55358	400	140	267	54	16435
55359	390	150	215	65	15364
55360	230	70	0	33	9143
55362	1340	420	883	243	51982
55363	410	130	267	92	16240
55364	1000	470	424	180	40417
55367	80	40	0	0	2956
55368	190	70	0	32	7094
55369	2750	1310	750	475	113708
55370	60	20	0	0	2270
55371	1340	430	987	184	52228
55372	1930	880	529	338	76811
55373	400	170	110	46	16458
55374	830	340	370	171	33172
55375	260	90	173	38	10116
55376	1060	360	458	184	40991
55378	1770	780	642	345	71365
55379	3020	1260	1022	570	120649
55381	180	60	208	36	6747
55382	280	80	244	40	10998
55384	140	100	0	20	6241
55385	90	40	0	22	3837
55386	300	150	0	53	12061
55387	840	320	267	177	33108
55388	410	130	223	60	16017
55389	210	60	338	14	7993
55390	230	80	131	38	9227
55391	740	380	232	103	28748
55395	250	90	131	38	10071
55396	200	60	148	25	7929
55397	200	60	101	31	7978
55398	1230	420	749	200	48551
55401	1390	1210	137	440	67339
55402	130	100	0	57	6073
55403	1620	1390	177	642	76004
55404	1070	730	108	412	47198
55405	1110	860	271	401	50054
55406	3160	1790	616	905	135713
55407	2440	1230	569	727	100988
